action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,72750,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(Cl)ccc23)=Nc2ccccc21,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '18.94', 'le': '0.37', 'lle': '2.77', 'sei': '7.70'}",CHEMBL174068,,CHEMBL174068,6.70,0,http://www.openphacts.org/units/Nanomolar,343525,=,1,1,=,,IC50,nM,,200.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,0.2
,,73782,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,Cn1c(O)c(C2=Nc3ccccc3C2=O)c2ccccc21,,,CHEMBL1148469,J Med Chem,2004,,CHEMBL435707,,CHEMBL435707,,0,http://www.openphacts.org/units/Nanomolar,343501,>,1,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,100.0
,,74885,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,O=C1C(c2c(O)[nH]c3cc(Br)ccc23)=Nc2ccccc21,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '12.53', 'le': '0.28', 'lle': '0.33', 'sei': '6.53'}",CHEMBL176904,,CHEMBL176904,4.28,0,http://www.openphacts.org/units/Nanomolar,343533,=,1,1,=,,IC50,nM,,53000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,53.0
,,74888,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,O=Nc1c(-c2c(O)[nH]c3cc(Cl)ccc23)[nH]c2ccccc12,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '22.46', 'le': '0.43', 'lle': '1.93', 'sei': '8.62'}",CHEMBL173040,,CHEMBL173040,7.00,0,http://www.openphacts.org/units/Nanomolar,343526,=,1,1,=,,IC50,nM,,100.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,0.1
,,78255,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,CC(=O)O/N=C1/C(c2c(O)[nH]c3ccccc23)=Nc2ccccc21,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '19.28', 'le': '0.35', 'lle': '2.87', 'sei': '7.07'}",CHEMBL176896,,CHEMBL176896,6.16,0,http://www.openphacts.org/units/Nanomolar,343539,=,1,1,=,,IC50,nM,,700.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,0.7
,,78258,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,Cn1c(O)c(-c2[nH]c3ccccc3c2N=O)c2ccc(Br)cc21,,,CHEMBL1148469,J Med Chem,2004,,CHEMBL173171,,CHEMBL173171,,0,http://www.openphacts.org/units/Nanomolar,343528,>,1,1,>,,IC50,nM,,100000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,100.0
,,79329,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,CO/N=C1/C(c2c(O)[nH]c3cc(Br)ccc23)=Nc2ccccc21,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '15.28', 'le': '0.34', 'lle': '1.54', 'sei': '8.09'}",CHEMBL354276,,CHEMBL354276,5.66,0,http://www.openphacts.org/units/Nanomolar,343530,=,1,1,=,,IC50,nM,,2200.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,2.2
,,79332,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,C=Cc1ccc2c(C3=Nc4ccccc4/C3=N\OC(C)=O)c(O)[nH]c2c1,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '18.53', 'le': '0.34', 'lle': '2.48', 'sei': '7.35'}",CHEMBL368954,,CHEMBL368954,6.40,0,http://www.openphacts.org/units/Nanomolar,343519,=,1,1,=,,IC50,nM,,400.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,0.4
,,80532,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(Br)c([N+](=O)[O-])cc23)=Nc2ccccc21,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '10.17', 'le': '0.22', 'lle': '0.56', 'sei': '3.46'}",CHEMBL172547,,CHEMBL172547,4.51,0,http://www.openphacts.org/units/Nanomolar,343514,=,1,1,=,,IC50,nM,,31000.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,31.0
,,81704,[],CHEMBL663602,Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a,B,,,BAO_0000190,BAO_0000223,protein complex format,CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(I)ccc23)=Nc2ccccc21,,,CHEMBL1148469,J Med Chem,2004,"{'bei': '13.22', 'le': '0.32', 'lle': '2.01', 'sei': '6.76'}",CHEMBL353554,,CHEMBL353554,5.89,0,http://www.openphacts.org/units/Nanomolar,343522,=,1,1,=,,IC50,nM,,1300.0,CHEMBL1907600,Homo sapiens,Cyclin-dependent kinase 5/CDK5 activator 1,9606,,,IC50,uM,UO_0000065,,1.3
