,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
0,CHEMBL174068,CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(Cl)ccc23)=Nc2ccccc21,200.0,active
1,CHEMBL435707,Cn1c(O)c(C2=Nc3ccccc3C2=O)c2ccccc21,100000.0,inactive
2,CHEMBL176904,O=C1C(c2c(O)[nH]c3cc(Br)ccc23)=Nc2ccccc21,53000.0,inactive
3,CHEMBL173040,O=Nc1c(-c2c(O)[nH]c3cc(Cl)ccc23)[nH]c2ccccc12,100.0,active
4,CHEMBL176896,CC(=O)O/N=C1/C(c2c(O)[nH]c3ccccc23)=Nc2ccccc21,700.0,active
5,CHEMBL173171,Cn1c(O)c(-c2[nH]c3ccccc3c2N=O)c2ccc(Br)cc21,100000.0,inactive
6,CHEMBL354276,CO/N=C1/C(c2c(O)[nH]c3cc(Br)ccc23)=Nc2ccccc21,2200.0,intermediate
7,CHEMBL368954,C=Cc1ccc2c(C3=Nc4ccccc4/C3=N\OC(C)=O)c(O)[nH]c2c1,400.0,active
8,CHEMBL172547,CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(Br)c([N+](=O)[O-])cc23)=Nc2ccccc21,31000.0,inactive
9,CHEMBL353554,CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(I)ccc23)=Nc2ccccc21,1300.0,intermediate
10,CHEMBL174292,O=Nc1c(-c2c(O)[nH]c3cc(F)ccc23)[nH]c2ccccc12,150.0,active
11,CHEMBL352781,CC(=O)O/N=C1/C(c2c(O)[nH]c3cc(F)ccc23)=Nc2ccccc21,300.0,active
12,CHEMBL369823,C=Cc1ccc2c(-c3[nH]c4ccccc4c3N=O)c(O)[nH]c2c1,420.0,active
13,CHEMBL176306,O=C1C(c2c(O)[nH]c3cccc(Cl)c23)=Nc2ccccc21,10000.0,inactive
14,CHEMBL170347,O=C1C(c2c(O)[nH]c3cc(Br)ccc23)=Nc2cc(Br)ccc21,100000.0,inactive
15,CHEMBL409450,O=C1Nc2cc(Br)ccc2/C1=C1/Nc2ccccc2/C1=N\O,83.0,active
16,CHEMBL354042,O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2cc(Br)ccc12,1200.0,intermediate
