,Unnamed: 0,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,0,CHEMBL327767,CCCc1cc(Oc2ccc(CC(C)C)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,533.6900000000003,7.501900000000008,1.0,6.0,6.536107011014093
1,1,CHEMBL94496,CCCc1cc(Oc2ccc(C(C)C)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,519.6630000000004,7.426800000000006,1.0,6.0,6.769551078621726
2,2,CHEMBL420441,CCCc1cc(Oc2ccc(Cl)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,512.0270000000004,6.956800000000006,1.0,6.0,7.136677139879544
3,3,CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,active,357.435,2.490900000000001,1.0,6.0,6.6020599913279625
4,4,CHEMBL330191,CCCc1cc(Oc2ccccc2)ccc1OCCCCOc1cccc(C2SC(=O)NC2=O)c1,active,491.6090000000002,6.693500000000006,1.0,6.0,6.709965388637482
5,5,CHEMBL300629,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1,active,477.58200000000016,6.303400000000005,1.0,6.0,6.7447274948966935
6,6,CHEMBL328615,CCCc1cc(Oc2ccc(Cl)c(C)c2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,526.0540000000003,7.265220000000006,1.0,6.0,7.251811972993799
7,7,CHEMBL96107,O=C1NC(=O)C(c2cccc(OCCCOc3ccc(Oc4ccccc4)cc3)c2)S1,active,435.50100000000003,5.350900000000004,1.0,6.0,7.119186407719209
8,8,CHEMBL94397,CCCc1cc(Oc2ccc(O)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,493.58100000000024,6.009000000000005,2.0,7.0,7.522878745280337
9,9,CHEMBL97529,CCCc1cc(Oc2ccc(C3CCCC3)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,545.7010000000002,7.9610000000000065,1.0,6.0,6.481486060122113
10,10,CHEMBL96758,CCCc1cc(Oc2ccc(-c3ccccc3)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,553.6800000000003,7.970400000000007,1.0,6.0,6.645891560852599
11,11,CHEMBL96143,CCCc1cc(Oc2ccc(F)c(C)c2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,509.5990000000003,6.750920000000005,1.0,6.0,7.107905397309519
12,12,CHEMBL94716,CCCc1cc(Oc2ccc(C(C)(C)C)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,533.6900000000003,7.600900000000007,1.0,6.0,6.474955192963154
13,13,CHEMBL96451,CCCc1cc(Oc2ccc(F)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,495.5720000000003,6.442500000000005,1.0,6.0,7.113509274827518
14,14,CHEMBL92130,CCCc1cc(Oc2ccc(OC)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,507.6080000000003,6.312000000000006,1.0,7.0,6.522878745280337
15,15,CHEMBL318684,CCCc1cc(Oc2ccc(Cl)c(Cl)c2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,546.4720000000003,7.610200000000006,1.0,6.0,7.1938200260161125
16,16,CHEMBL94306,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,477.58200000000016,6.303400000000005,1.0,6.0,7.2441251443275085
17,17,CHEMBL81248,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@](C)(Oc2ccccc2)C(=O)O)cc1,active,457.5260000000002,5.736320000000005,1.0,5.0,7.853871964321762
18,18,CHEMBL82034,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC(C)(Oc2ccccc2)C(=O)O)cc1,active,457.5260000000002,5.736320000000005,1.0,5.0,7.7447274948966935
19,19,CHEMBL81208,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC(Oc2ccccc2)C(=O)O)cc1,active,443.49900000000014,5.346220000000004,1.0,5.0,6.892790030352131
20,20,CHEMBL264385,Cc1oc(C2CCCCC2)nc1CCOc1ccc(C[C@](C)(Oc2ccccc2)C(=O)O)cc1,active,463.5740000000002,6.117020000000006,1.0,5.0,7.823908740944319
21,21,CHEMBL77502,Cc1oc(-c2cccs2)nc1CCOc1ccc(C[C@](C)(Oc2ccccc2)C(=O)O)cc1,active,463.5550000000002,5.797820000000006,1.0,6.0,8.0
22,22,CHEMBL312717,Cc1oc(-c2ccc(-c3ccccc3)cc2)nc1CCOc1ccc(CC(C)(Oc2ccccc2)C(=O)O)cc1,active,533.6240000000004,7.403320000000007,1.0,5.0,6.772113295386326
23,23,CHEMBL82602,Cc1oc(-c2cccs2)nc1CCOc1ccc(CC(C)(Oc2ccccc2)C(=O)O)cc1,active,463.5550000000002,5.797820000000006,1.0,6.0,7.619788758288394
24,24,CHEMBL79426,Cc1oc(-c2cccs2)nc1CCOc1ccc(C[C@@](C)(Oc2ccccc2)C(=O)O)cc1,active,463.5550000000002,5.797820000000006,1.0,6.0,6.527243550682788
26,26,CHEMBL412371,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@@](C)(Oc2ccccc2)C(=O)O)cc1,active,457.5260000000002,5.736320000000005,1.0,5.0,6.411168274405792
27,27,CHEMBL81592,Cc1oc(-c2ccccc2)nc1CCOc1ccc(OC(C)(Cc2ccccc2)C(=O)O)cc1,active,457.5260000000002,5.736320000000005,1.0,5.0,6.308918507877031
28,28,CHEMBL78529,CCC(Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)cc1)(Oc1ccccc1)C(=O)O,active,471.55300000000017,6.126420000000007,1.0,5.0,6.5376020021010435
29,29,CHEMBL81676,Cc1oc(-c2cccc(-c3ccccc3)c2)nc1CCOc1ccc(CC(C)(Oc2ccccc2)C(=O)O)cc1,active,533.6240000000004,7.403320000000007,1.0,5.0,7.1487416512809245
30,30,CHEMBL309882,Cc1oc(C2CCCCC2)nc1CCOc1ccc(CC(C)(Oc2ccccc2)C(=O)O)cc1,active,463.5740000000002,6.117020000000006,1.0,5.0,7.292429823902063
